ID;RELEASE;URL;DOWNLOAD LINK;COMPONENT;DESCRIPTION;MD5;S3 PATH;LAST UPDATED;SAP RELEASE DATE;COMMENT
S4HANA23_EXPORT_PART3;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164592023;https://softwaredownloads.sap.com/file/0030000001164592023;EXPORT_PART3;S4CORE108_INST_EXPORT_3.zip;d0b618350e965d4d1863b78cc8dc4d38c79351619d96ce4edb3a27d4367f09e9;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_EXPORT_PART4;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164622023;https://softwaredownloads.sap.com/file/0030000001164622023;EXPORT_PART4;S4CORE108_INST_EXPORT_4.zip;e7b9cbabc5cdfb18b8445e7283ccb34d9e022a73c00dd1ebac5d705105d6e762;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_EXPORT_PART5;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164632023;https://softwaredownloads.sap.com/file/0030000001164632023;EXPORT_PART5;S4CORE108_INST_EXPORT_5.zip;a0a6a6110a704543f9169b2b0ea05119e9307a4a7c0c02ad5822682edef3fe74;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_EXPORT_PART6;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164652023;https://softwaredownloads.sap.com/file/0030000001164652023;EXPORT_PART6;S4CORE108_INST_EXPORT_6.zip;60dd95e469c1070fd3960c45ecc295e6694b5043fb88811a6db49cb06192c94c;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_EXPORT_PART7;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164662023;https://softwaredownloads.sap.com/file/0030000001164662023;EXPORT_PART7;S4CORE108_INST_EXPORT_7.zip;83cc8fdf7d0cdcf53dd18729cb08284f1c70dc4f4285328a59fab6fab95f9d18;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_EXPORT_PART8;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164672023;https://softwaredownloads.sap.com/file/0030000001164672023;EXPORT_PART8;S4CORE108_INST_EXPORT_8.zip;15a20f9845b30da00a1f5798144ca227f80c65bdbd9597dc17a73ccda6ce27aa;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_EXPORT_PART9;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164692023;https://softwaredownloads.sap.com/file/0030000001164692023;EXPORT_PART9;S4CORE108_INST_EXPORT_9.zip;2d8664057f1d7eac81757715ceff57348160b551fea4975f061cb3848e9c4b75;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_EXPORT_PART10;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164282023;https://softwaredownloads.sap.com/file/0030000001164282023;EXPORT_PART10;S4CORE108_INST_EXPORT_10.zip;961d24af7670cfd0493e8aa1a672d3ea4e4add01b3561111f3ac09a158bdaeb8;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_EXPORT_PART11;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164292023;https://softwaredownloads.sap.com/file/0030000001164292023;EXPORT_PART11;S4CORE108_INST_EXPORT_11.zip;9d433bd3cca83ffe5f7c366fd28a41794f1b8e133e9523900e20f4ef705dab34;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_EXPORT_PART12;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164302023;https://softwaredownloads.sap.com/file/0030000001164302023;EXPORT_PART12;S4CORE108_INST_EXPORT_12.zip;ad451d8b28b752ed24fe555f9b741d7db568d7b0d1c72b59ad4cd9b1bb37f719;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
